Row #	X	Y	XY-up	XY-down
180	0.7745858	0.9265657	1.207826	1.207873
181	0.7746598	0.9265657	1.207873	1.207921
182	0.7747336	0.9265657	1.207921	1.207968
183	0.7748075	0.9265657	1.207968	1.208015
184	0.7748813	0.9265657	1.208015	1.208063
185	0.7749552	0.9265657	1.208063	1.20811
186	0.7750289	0.9265657	1.20811	1.208157
187	0.7751027	0.9265657	1.208157	1.208205
188	0.7751765	0.9265657	1.208205	1.208252
189	0.7752503	0.9265657	1.208252	1.208299
190	0.775324	0.9265657	1.208299	1.208347
191	0.7753978	0.9265657	1.208347	1.208394
192	0.7754714	0.9265657	1.208394	1.208441
193	0.7755451	0.9265657	1.208441	1.208488
194	0.7756188	0.9265657	1.208488	1.208536
195	0.7756925	0.9265657	1.208536	1.208583
196	0.7757661	0.9265657	1.208583	1.20863
197	0.7758397	0.9265657	1.20863	1.208678
198	0.7759134	0.9265657	1.208678	1.208725
199	0.775987	0.9265657	1.208725	1.208772
200	0.7760605	0.9265657	1.208772	1.208819
201	0.7761341	0.9265657	1.208819	1.208866
202	0.7762076	0.9265657	1.208866	1.208914
203	0.7762812	0.9265657	1.208914	1.208961
204	0.7763547	0.9265657	1.208961	1.209008
205	0.7764282	0.9265657	1.209008	1.209055
206	0.7765017	0.9265657	1.209055	1.209103
207	0.7765751	0.9265657	1.209103	1.20915
208	0.7766486	0.9265657	1.20915	1.209197
209	0.776722	0.9265657	1.209197	1.209244
210	0.7767954	0.9265657	1.209244	1.209291
211	0.7768688	0.9265657	1.209291	1.209338
212	0.7769422	0.9265657	1.209338	1.209386
213	0.7770156	0.9265657	1.209386	1.209433
214	0.7770889	0.9265657	1.209433	1.20948
215	0.7771623	0.9265657	1.20948	1.209527
216	0.7772355	0.9265657	1.209527	1.209574
217	0.7773089	0.9265657	1.209574	1.209621
218	0.7773821	0.9265657	1.209621	1.209668
219	0.7774554	0.9265657	1.209668	1.209715
220	0.7775286	0.9265657	1.209715	1.209762
221	0.7776018	0.9265657	1.209762	1.209809
222	0.7776751	0.9265657	1.209809	1.209856
223	0.7777483	0.9265657	1.209856	1.209903
224	0.7778215	0.9265657	1.209903	1.20995
225	0.7778946	0.9265657	1.20995	1.209998
226	0.7779678	0.9265657	1.209998	1.210045
227	0.7780409	0.9265657	1.210045	1.210092
228	0.778114	0.9265657	1.210092	1.210139
229	0.7781872	0.9265657	1.210139	1.210186
230	0.7782602	0.9265657	1.210186	1.210233
231	0.7783332	0.9265657	1.210232	1.210279
232	0.7784063	0.9265657	1.210279	1.210327
233	0.7784794	0.9265657	1.210327	1.210374
234	0.7785524	0.9265657	1.210374	1.21042
235	0.7786254	0.9265657	1.21042	1.210467
236	0.7786984	0.9265657	1.210467	1.210514
237	0.7787713	0.9265657	1.210514	1.210561
238	0.7788443	0.9265657	1.210561	1.210608
239	0.7789173	0.9265657	1.210608	1.210655
240	0.7789901	0.9265657	1.210655	1.210702
241	0.779063	0.9265657	1.210702	1.210749
242	0.7791359	0.9265657	1.210749	1.210796
243	0.7792088	0.9265657	1.210796	1.210843
244	0.7792817	0.9265657	1.210843	1.21089
245	0.7793545	0.9265657	1.21089	1.210937
246	0.7794273	0.9265657	1.210937	1.210983
247	0.7795001	0.9265657	1.210983	1.21103
248	0.7795729	0.9265657	1.21103	1.211077
249	0.7796457	0.9265657	1.211077	1.211124
250	0.7797184	0.9265657	1.211124	1.211171
251	0.7797912	0.9265657	1.211171	1.211218
252	0.779864	0.9265657	1.211218	1.211264
253	0.7799366	0.9265657	1.211264	1.211311
254	0.7800093	0.9265657	1.211311	1.211358
255	0.780082	0.9265657	1.211358	1.211405
256	0.7801546	0.9265657	1.211405	1.211452
257	0.7802272	0.9265657	1.211452	1.211498
258	0.7802999	0.9265657	1.211498	1.211545
259	0.7803725	0.9265657	1.211545	1.211592
260	0.7804451	0.9265657	1.211592	1.211639
261	0.7805176	0.9265657	1.211639	1.211685
262	0.7805902	0.9265657	1.211685	1.211732
263	0.7806628	0.9265657	1.211732	1.211779
264	0.7807353	0.9265657	1.211779	1.211826
265	0.7808078	0.9265657	1.211825	1.211872
266	0.7808803	0.9265657	1.211872	1.211919
267	0.7809528	0.9265657	1.211919	1.211966
268	0.7810252	0.9265657	1.211966	1.212012
269	0.7810977	0.9265657	1.212012	1.212059
270	0.7811701	0.9265657	1.212059	1.212106
271	0.7812425	0.9265657	1.212106	1.212152
272	0.7813149	0.9265657	1.212152	1.212199
273	0.7813873	0.9265657	1.212199	1.212246
274	0.7814596	0.9265657	1.212246	1.212292
275	0.781532	0.9265657	1.212292	1.212339
276	0.7816043	0.9265657	1.212339	1.212386
277	0.7816766	0.9265657	1.212386	1.212432
278	0.7817488	0.9265657	1.212432	1.212479
279	0.7818212	0.9265657	1.212479	1.212525
280	0.7818934	0.9265657	1.212525	1.212572
281	0.7819657	0.9265657	1.212572	1.212618
282	0.7820379	0.9265657	1.212618	1.212665
283	0.7821101	0.9265657	1.212665	1.212712
284	0.7821823	0.9265657	1.212712	1.212758
285	0.7822545	0.9265657	1.212758	1.212805
286	0.7823266	0.9265657	1.212805	1.212851
287	0.7823988	0.9265657	1.212851	1.212898
288	0.7824709	0.9265657	1.212898	1.212944
289	0.782543	0.9265657	1.212944	1.212991
290	0.7826151	0.9265657	1.212991	1.213037
291	0.7826872	0.9265657	1.213037	1.213084
292	0.7827592	0.9265657	1.213084	1.21313
293	0.7828313	0.9265657	1.21313	1.213177
294	0.7829033	0.9265657	1.213177	1.213223
295	0.7829753	0.9265657	1.213223	1.21327
296	0.7830473	0.9265657	1.21327	1.213316
297	0.7831193	0.9265657	1.213316	1.213363
298	0.7831913	0.9265657	1.213363	1.213409
299	0.7832632	0.9265657	1.213409	1.213456
300	0.7833351	0.9265657	1.213456	1.213502
301	0.783407	0.9265657	1.213502	1.213549
302	0.783479	0.9265657	1.213549	1.213595
303	0.7835509	0.9265657	1.213595	1.213641
304	0.7836227	0.9265657	1.213641	1.213688
305	0.7836946	0.9265657	1.213688	1.213734
306	0.7837663	0.9265657	1.213734	1.21378
307	0.7838382	0.9265657	1.21378	1.213827
308	0.78391	0.9265657	1.213827	1.213873
309	0.7839817	0.9265657	1.213873	1.21392
310	0.7840535	0.9265657	1.21392	1.213966
311	0.7841252	0.9265657	1.213966	1.214012
312	0.784197	0.9265657	1.214012	1.214059
313	0.7842687	0.9265657	1.214059	1.214105
314	0.7843404	0.9265657	1.214105	1.214151
315	0.7844121	0.9265657	1.214151	1.214197
316	0.7844837	0.9265657	1.214197	1.214244
317	0.7845554	0.9265657	1.214244	1.21429
318	0.784627	0.9265657	1.21429	1.214336
319	0.7846986	0.9265657	1.214336	1.214383
320	0.7847703	0.9265657	1.214383	1.214429
321	0.7848418	0.9265657	1.214429	1.214475
322	0.7849134	0.9265657	1.214475	1.214521
323	0.7849849	0.9265657	1.214521	1.214568
324	0.7850565	0.9265657	1.214568	1.214614
325	0.7851279	0.9265657	1.214614	1.21466
326	0.7851995	0.9265657	1.21466	1.214706
327	0.7852709	0.9265657	1.214706	1.214752
328	0.7853424	0.9265657	1.214752	1.214799
329	0.7854139	0.9265657	1.214799	1.214845
330	0.7854853	0.9265657	1.214845	1.214891
331	0.7855567	0.9265657	1.214891	1.214775
332	0.7856281	0.9265657	1.214937	1.214822
333	0.7856994	0.9265657	1.214822	1.214868
334	0.7857708	0.9265657	1.214868	1.214914
335	0.7858422	0.9265657	1.214914	1.21496
336	0.7859135	0.9265657	1.21496	1.215006
337	0.7859848	0.9265657	1.215006	1.215052
338	0.7860562	0.9265657	1.215052	1.215099
339	0.7861274	0.9265657	1.215099	1.215145
340	0.7861987	0.9265657	1.215145	1.215191
341	0.7862699	0.9265657	1.215191	1.215237
342	0.7863411	0.9265657	1.215237	1.215283
343	0.7864124	0.9265657	1.215283	1.215329
344	0.7864836	0.9265657	1.215329	1.215375
345	0.7865548	0.9265657	1.215375	1.215421
346	0.7866259	0.9265657	1.215421	1.215467
347	0.7866971	0.9265657	1.215467	1.215513
348	0.7867682	0.9265657	1.215513	1.215559
349	0.7868393	0.9265657	1.215559	1.215605
350	0.7869104	0.9265657	1.215605	1.215651
351	0.7869815	0.9265657	1.215651	1.215697
352	0.7870526	0.9265657	1.215697	1.215743
353	0.7871236	0.9265657	1.215743	1.215789
354	0.7871946	0.9265657	1.215789	1.215835
355	0.7872657	0.9265657	1.215835	1.215881
356	0.7873366	0.9265657	1.215881	1.215927
357	0.7874076	0.9265657	1.215927	1.215973
358	0.7874786	0.9265657	1.215973	1.216019
359	0.7875496	0.9265657	1.216019	1.216065
360	0.7876205	0.9265657	1.216065	1.216111
361	0.7876914	0.9265657	1.216111	1.216157
362	0.7877623	0.9265657	1.216157	1.216203
363	0.7878332	0.9265657	1.216203	1.216249
364	0.787904	0.9265657	1.216249	1.216295
365	0.7879749	0.9265657	1.216295	1.216341
366	0.7880457	0.9265657	1.216341	1.216386
367	0.7881165	0.9265657	1.216386	1.216432
368	0.7881873	0.9265657	1.216432	1.216478
369	0.7882581	0.9265657	1.216478	1.216524
